Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency
NOTA,None of the Above,21814.0,105,21919.0,2.34,Jharkhand,Khunti
ANNPURNA DEVI,Bharatiya Janata Party,787185.0,4472,791657.0,57.79,Jharkhand,Kodarma
VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),410945.0,3698,414643.0,30.27,Jharkhand,Kodarma
MANOJ KUMAR,Independent,28310.0,302,28612.0,2.09,Jharkhand,Kodarma
JAI PRAKASH VERMA,Independent,22843.0,380,23223.0,1.7,Jharkhand,Kodarma
SITAN RABIDAS,Bahujan Samaj Party,13067.0,107,13174.0,0.96,Jharkhand,Kodarma
SURENDRA KUMAR AGRAWAL,Independent,9646.0,10,9656.0,0.7,Jharkhand,Kodarma
SAHADAT ANSARI,Independent,8217.0,15,8232.0,0.6,Jharkhand,Kodarma
JAYNARAYAN DAS,Bahujan Mukti Party,6701.0,37,6738.0,0.49,Jharkhand,Kodarma
AKLESHWAR SAW,Lokhit Adhikar Party,5574.0,27,5601.0,0.41,Jharkhand,Kodarma
JITLAL KISKU,Independent,5299.0,34,5333.0,0.39,Jharkhand,Kodarma
MD. SAGIR,Independent,5041.0,3,5044.0,0.37,Jharkhand,Kodarma
AJAY KRISHNA,Moolniwasi Samaj Party,4526.0,15,4541.0,0.33,Jharkhand,Kodarma
RAJESH,Independent,4230.0,3,4233.0,0.31,Jharkhand,Kodarma
RAMESHWAR PRASAD YADAV,Independent,4227.0,2,4229.0,0.31,Jharkhand,Kodarma
ASHISH KUMAR,Right to Recall Party,2892.0,4,2896.0,0.21,Jharkhand,Kodarma
NOTA,None of the Above,42089.0,63,42152.0,3.08,Jharkhand,Kodarma
SUKHDEO BHAGAT,Indian National Congress,476112.0,6926,483038.0,49.95,Jharkhand,Lohardaga
SAMIR ORAON,Bharatiya Janata Party,339685.0,4215,343900.0,35.56,Jharkhand,Lohardaga
CHAMRA LINDA,Independent,45082.0,916,45998.0,4.76,Jharkhand,Lohardaga
MAHENDRA ORAON,Communist Party of India,16776.0,17,16793.0,1.74,Jharkhand,Lohardaga
SHANIYA ORAON,Independent,10894.0,17,10911.0,1.13,Jharkhand,Lohardaga
GIRJANANDAN URAON,Bahujan Samaj Party,9103.0,45,9148.0,0.95,Jharkhand,Lohardaga
MARIANUS TIGGA,Independent,9100.0,31,9131.0,0.94,Jharkhand,Lohardaga
STEPHAN KINDO,Independent,7594.0,5,7599.0,0.79,Jharkhand,Lohardaga
BIHARI BHAGAT,Peoples Party of India (Democratic),7558.0,44,7602.0,0.79,Jharkhand,Lohardaga
RANJEET BHAGAT,Independent,5510.0,17,5527.0,0.57,Jharkhand,Lohardaga
RAMCHANDRA BHAGAT,Lokhit Adhikar Party,4303.0,7,4310.0,0.45,Jharkhand,Lohardaga
PAWAN TIGGA,Independent,3685.0,28,3713.0,0.38,Jharkhand,Lohardaga
ARPAN DEO BHAGAT,Independent,2796.0,18,2814.0,0.29,Jharkhand,Lohardaga
ARJUN TOPPO,Independent,2706.0,41,2747.0,0.28,Jharkhand,Lohardaga
MANI MUNDA,Bhagidari Party(P),2490.0,20,2510.0,0.26,Jharkhand,Lohardaga
NOTA,None of the Above,11304.0,80,11384.0,1.18,Jharkhand,Lohardaga
VISHNU DAYAL RAM,Bharatiya Janata Party,762290.0,8072,770362.0,55.39,Jharkhand,Palamau
MAMTA BHUIYAN,Rashtriya Janata Dal,473668.0,7887,481555.0,34.63,Jharkhand,Palamau
KAMESHWAR BAITHA,Bahujan Samaj Party,39267.0,733,40000.0,2.88,Jharkhand,Palamau
SANAN RAM,Lokhit Adhikar Party,17849.0,26,17875.0,1.29,Jharkhand,Palamau
GANESH RAVI,Independent,17669.0,30,17699.0,1.27,Jharkhand,Palamau
BRAJESH KUMAR TURI,Rashtriya Samanta Dal,17542.0,24,17566.0,1.26,Jharkhand,Palamau
VRINDA RAM,Peoples Party of India (Democratic),11205.0,65,11270.0,0.81,Jharkhand,Palamau
MAHENDRA BAITHA,Socialist Unity Centre Of India (COMMUNIST),5097.0,18,5115.0,0.37,Jharkhand,Palamau
RAM VACHAN RAM,Bahujan Mukti Party,4924.0,29,4953.0,0.36,Jharkhand,Palamau
NOTA,None of the Above,24226.0,117,24343.0,1.75,Jharkhand,Palamau
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,607293.0,6078,613371.0,50.35,Jharkhand,Rajmahal
TALA MARANDI,Bharatiya Janata Party,430544.0,4563,435107.0,35.72,Jharkhand,Rajmahal
LOBIN HEMBRAM,Independent,41592.0,548,42140.0,3.46,Jharkhand,Rajmahal
GOPIN SOREN,Communist Party of India (Marxist),37191.0,100,37291.0,3.06,Jharkhand,Rajmahal
MAHESH PAHARIYA,Independent,14950.0,28,14978.0,1.23,Jharkhand,Rajmahal
AJIT MARANDI,Rashtriya Jansambhavna Party,11243.0,8,11251.0,0.92,Jharkhand,Rajmahal
SEBASTION HEMBROM,Independent,9492.0,1,9493.0,0.78,Jharkhand,Rajmahal
MARIYAM MARANDI,Bahujan Samaj Party,8225.0,34,8259.0,0.68,Jharkhand,Rajmahal
PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7854.0,48,7902.0,0.65,Jharkhand,Rajmahal
DIPA TUDU,Independent,6847.0,9,6856.0,0.56,Jharkhand,Rajmahal
KHALIFA KISKU,Peoples Party of India (Democratic),4092.0,15,4107.0,0.34,Jharkhand,Rajmahal
VINOD KUMAR MANDAL,Lokhit Adhikar Party,3774.0,35,3809.0,0.31,Jharkhand,Rajmahal
MUNSHI KISKU,Navyug Pragatisheel Morcha,2777.0,2,2779.0,0.23,Jharkhand,Rajmahal
LILI HANSDA,Samata Party,2682.0,7,2689.0,0.22,Jharkhand,Rajmahal
NOTA,None of the Above,18119.0,98,18217.0,1.5,Jharkhand,Rajmahal
SANJAY SETH,Bharatiya Janata Party,658975.0,5757,664732.0,45.91,Jharkhand,Ranchi
YASHASWINI SAHAY,Indian National Congress,537646.0,6574,544220.0,37.59,Jharkhand,Ranchi
DEVENDRA NATH MAHTO,Independent,130526.0,2121,132647.0,9.16,Jharkhand,Ranchi
SOMA SINGH,Jai Maha Bharath Party,10340.0,1,10341.0,0.71,Jharkhand,Ranchi
NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793.0,10,7803.0,0.54,Jharkhand,Ranchi
DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784.0,15,6799.0,0.47,Jharkhand,Ranchi
SHYAM BIHARI PRAJAPATI,Bhagidari Party(P),6524.0,6,6530.0,0.45,Jharkhand,Ranchi
MANOJ KUMAR,Bahujan Samaj Party,6383.0,44,6427.0,0.44,Jharkhand,Ranchi
RAMHARI GOPE,Ambedkarite Party of India,6304.0,5,6309.0,0.44,Jharkhand,Ranchi
ANJANI PANDEY,Independent,5386.0,11,5397.0,0.37,Jharkhand,Ranchi
SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794.0,8,4802.0,0.33,Jharkhand,Ranchi
HARINATH SAHU,Lokhit Adhikar Party,4120.0,16,4136.0,0.29,Jharkhand,Ranchi
HEMNTI DEVI,Samata Party,4069.0,11,4080.0,0.28,Jharkhand,Ranchi
RANJANA GIRI,Republican Party of India (A),3206.0,2,3208.0,0.22,Jharkhand,Ranchi
BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130.0,25,3155.0,0.22,Jharkhand,Ranchi
DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072.0,22,3094.0,0.21,Jharkhand,Ranchi
PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870.0,74,2944.0,0.2,Jharkhand,Ranchi
PRABEEN CHANDRA MAHATO,Independent,2852.0,7,2859.0,0.2,Jharkhand,Ranchi
SANTOSH KUMAR JAISWAL,Independent,2782.0,5,2787.0,0.19,Jharkhand,Ranchi
PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756.0,7,2763.0,0.19,Jharkhand,Ranchi
MANORANJAN BHATTACHARYA,Independent,2537.0,2,2539.0,0.18,Jharkhand,Ranchi
AINUL ANSARI,Independent,2533.0,4,2537.0,0.18,Jharkhand,Ranchi
BINOD ORAON,Bahujan Mukti Party,2523.0,66,2589.0,0.18,Jharkhand,Ranchi
MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2151.0,13,2164.0,0.15,Jharkhand,Ranchi
KOLESHWAR MAHTO,Independent,1702.0,6,1708.0,0.12,Jharkhand,Ranchi
KAMESHWAR PRASAD SAW,Independent,1644.0,2,1646.0,0.11,Jharkhand,Ranchi
ARSHAD AYUB,Independent,1411.0,1,1412.0,0.1,Jharkhand,Ranchi
NOTA,None of the Above,8046.0,107,8153.0,0.56,Jharkhand,Ranchi
JOBA MAJHI,Jharkhand Mukti Morcha,515989.0,4175,520164.0,51.62,Jharkhand,Singhbhum
GEETA KORA,Bharatiya Janata Party,349006.0,2756,351762.0,34.91,Jharkhand,Singhbhum
DAMODAR SINGH HANSDA,Independent,43838.0,454,44292.0,4.4,Jharkhand,Singhbhum
MADHAV CHANDRA KUNKAL,Independent,19729.0,105,19834.0,1.97,Jharkhand,Singhbhum
SANGRAM MARDI,Independent,16097.0,14,16111.0,1.6,Jharkhand,Singhbhum
PARDESHI LAL MUNDA,Bahujan Samaj Party,8708.0,34,8742.0,0.87,Jharkhand,Singhbhum
DURGA LAL MURMU,Independent,4912.0,12,4924.0,0.49,Jharkhand,Singhbhum
CHITRASEN SINKU,Jharkhand Party,3188.0,22,3210.0,0.32,Jharkhand,Singhbhum
BISHWA VIJAY MARDI,Ambedkarite Party of India,3067.0,3,3070.0,0.3,Jharkhand,Singhbhum
ASHA KUMARI RUNDA,Independent,2736.0,18,2754.0,0.27,Jharkhand,Singhbhum
KRISHNA MARDI,Jharkhand Mukti Morcha (Ulgulan),2597.0,18,2615.0,0.26,Jharkhand,Singhbhum
SUDHA RANI BESRA,Peoples Party of India (Democratic),2398.0,11,2409.0,0.24,Jharkhand,Singhbhum
BIR SINGH DEOGAM,Right to Recall Party,1919.0,8,1927.0,0.19,Jharkhand,Singhbhum
PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),1793.0,8,1801.0,0.18,Jharkhand,Singhbhum
NOTA,None of the Above,23907.0,75,23982.0,2.38,Jharkhand,Singhbhum
GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441.0,3598,671039.0,50.93,Karnataka,Bagalkot
SAMYUKTA SHIVANAND PATIL,Indian National Congress,600741.0,1899,602640.0,45.74,Karnataka,Bagalkot
NAGARAJ. S. KALKUTAGAR,Independent,5628.0,1,5629.0,0.43,Karnataka,Bagalkot
PARASHURAM. LAXMAN. NEELANAIK,Independent,5084.0,6,5090.0,0.39,Karnataka,Bagalkot
ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4909.0,14,4923.0,0.37,Karnataka,Bagalkot
JYOTI GULEDGUDDA,Independent,4636.0,9,4645.0,0.35,Karnataka,Bagalkot
M. B. SIDAGONI,Bahujan Samaj Party,4453.0,26,4479.0,0.34,Karnataka,Bagalkot
DR. MUTTU. S. SURAKOD. (MADAR),Independent,3131.0,4,3135.0,0.24,Karnataka,Bagalkot
PRASHANT RAO,Independent,1909.0,5,1914.0,0.15,Karnataka,Bagalkot
DATTATREYA DASHARATHA TAVARE,Independent,1607.0,13,1620.0,0.12,Karnataka,Bagalkot
AMBROSE D' MELLO,Independent,1203.0,2,1205.0,0.09,Karnataka,Bagalkot
KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1189.0,18,1207.0,0.09,Karnataka,Bagalkot
MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1137.0,7,1144.0,0.09,Karnataka,Bagalkot
RAJESAB BURANSAB. MASALI,Independent,988.0,4,992.0,0.08,Karnataka,Bagalkot
SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,830.0,2,832.0,0.06,Karnataka,Bagalkot
RAVI SHIVAPPA PADASALAGI,Independent,654.0,2,656.0,0.05,Karnataka,Bagalkot
SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,546.0,4,550.0,0.04,Karnataka,Bagalkot
ABDULAZIZ KALADAGI PENDARI,Independent,524.0,5,529.0,0.04,Karnataka,Bagalkot
MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,509.0,9,518.0,0.04,Karnataka,Bagalkot
SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,494.0,5,499.0,0.04,Karnataka,Bagalkot
S. M. MARIGOUDAR,Desh Prem Party,451.0,3,454.0,0.03,Karnataka,Bagalkot
SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),431.0,10,441.0,0.03,Karnataka,Bagalkot
NOTA,None of the Above,3398.0,22,3420.0,0.26,Karnataka,Bagalkot
P C MOHAN,Bharatiya Janata Party,657236.0,1679,658915.0,50.05,Karnataka,Bangalore central
MANSOOR ALI KHAN,Indian National Congress,625368.0,840,626208.0,47.57,Karnataka,Bangalore central
SATISH CHANDRA. M.,Bahujan Samaj Party,3071.0,16,3087.0,0.23,Karnataka,Bangalore central
JAYALAKSHMI SUNDARA RAJAN,Independent,2755.0,6,2761.0,0.21,Karnataka,Bangalore central
SURESH BABU. M. C,Uttama Prajaakeeya Party,1735.0,4,1739.0,0.13,Karnataka,Bangalore central
K. MANJUNATHA,Independent,1552.0,4,1556.0,0.12,Karnataka,Bangalore central
S. M. KRISHNA,Independent,1466.0,8,1474.0,0.11,Karnataka,Bangalore central
MURUGESH. R,Independent,1162.0,,1162.0,0.09,Karnataka,Bangalore central
UMA. V.,Independent,820.0,7,827.0,0.06,Karnataka,Bangalore central
PRAKASH. K,Karnataka Rashtra Samithi,766.0,13,779.0,0.06,Karnataka,Bangalore central
H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST),700.0,7,707.0,0.05,Karnataka,Bangalore central
MODI SAIFULLA,Independent,688.0,7,695.0,0.05,Karnataka,Bangalore central
ABHAYA SHEELA.,Rashtriya Samaj Dal (R),625.0,10,635.0,0.05,Karnataka,Bangalore central
KARTHIK. K,Voters Independent Party,594.0,7,601.0,0.05,Karnataka,Bangalore central
T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,456.0,4,460.0,0.03,Karnataka,Bangalore central
VASANTH KUMAR ERAPPA,Independent,439.0,,439.0,0.03,Karnataka,Bangalore central
C.M. SHABAZ KHAN,Young Star Empowerment Party,428.0,1,429.0,0.03,Karnataka,Bangalore central
WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka),376.0,2,378.0,0.03,Karnataka,Bangalore central
B. KRISHNA PRASAD,"Proutist Bloc, India",324.0,3,327.0,0.02,Karnataka,Bangalore central
MUKTHAR ALI KHAN,Karnataka Karmikara Paksha,314.0,,314.0,0.02,Karnataka,Bangalore central
SYED ASIF BUKHARI,Independent,286.0,,286.0,0.02,Karnataka,Bangalore central
RANJITH VISHWA,Samajwadi Janata Party(Karnataka),270.0,4,274.0,0.02,Karnataka,Bangalore central
RUMAN SHARIFFE,Independent,170.0,1,171.0,0.01,Karnataka,Bangalore central
YALLAPPA.,Independent,158.0,2,160.0,0.01,Karnataka,Bangalore central
NOTA,None of the Above,12103.0,23,12126.0,0.92,Karnataka,Bangalore central
SHOBHA KARANDLAJE,Bharatiya Janata Party,982805.0,3244,986049.0,56.27,Karnataka,Bangalore North
PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190.0,1383,726573.0,41.46,Karnataka,Bangalore North
GOVINDAIAH,Bahujan Samaj Party,4614.0,17,4631.0,0.26,Karnataka,Bangalore North
SANTHOSH M,Uttama Prajaakeeya Party,3450.0,11,3461.0,0.2,Karnataka,Bangalore North
UDAYA SHANKAR.G,Prahar Janshakti Party,2676.0,2,2678.0,0.15,Karnataka,Bangalore North
LAKSHMI SRIHARI.J.N.,Independent,2091.0,3,2094.0,0.12,Karnataka,Bangalore North
DILIP KUMAR I.S.,Independent,1896.0,7,1903.0,0.11,Karnataka,Bangalore North
K.M.MAHADEVA,Independent,1716.0,4,1720.0,0.1,Karnataka,Bangalore North
K.V.NANJUNDASWAMY,Independent,1363.0,2,1365.0,0.08,Karnataka,Bangalore North
SHOBHA,Independent,1272.0,8,1280.0,0.07,Karnataka,Bangalore North
Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072.0,5,1077.0,0.06,Karnataka,Bangalore North
NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),972.0,5,977.0,0.06,Karnataka,Bangalore North
H.R.NATARAJ,Independent,857.0,4,861.0,0.05,Karnataka,Bangalore North
BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831.0,,831.0,0.05,Karnataka,Bangalore North
SHIVAKUMAR. B,Karnataka Rashtra Samithi,813.0,4,817.0,0.05,Karnataka,Bangalore North
SUDHA. V,Independent,650.0,7,657.0,0.04,Karnataka,Bangalore North
KRISHNAIAH,Rashtriya Samaj Dal (R),556.0,3,559.0,0.03,Karnataka,Bangalore North
HEBBAL VENKATESH.J,Republican Party of India (A),422.0,3,425.0,0.02,Karnataka,Bangalore North
"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356.0,3,359.0,0.02,Karnataka,Bangalore North
SHOBAN BABU V,Indian Labour Party (Ambedkar Phule),315.0,5,320.0,0.02,Karnataka,Bangalore North
PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313.0,,313.0,0.02,Karnataka,Bangalore North
NOTA,None of the Above,13499.0,55,13554.0,0.77,Karnataka,Bangalore North
DR C N MANJUNATH,Bharatiya Janata Party,1075553.0,3449,1079002.0,56.21,Karnataka,Bangalore Rural
D K SURESH,Indian National Congress,807459.0,1896,809355.0,42.16,Karnataka,Bangalore Rural
ABHISHEK K,Uttama Prajaakeeya Party,6191.0,11,6202.0,0.32,Karnataka,Bangalore Rural
SURESH M N,Independent,3231.0,5,3236.0,0.17,Karnataka,Bangalore Rural
HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST),1768.0,6,1774.0,0.09,Karnataka,Bangalore Rural
J T PRAKASH,Independent,1468.0,4,1472.0,0.08,Karnataka,Bangalore Rural
N KRISHNAPPA,Pyramid Party of India,1396.0,6,1402.0,0.07,Karnataka,Bangalore Rural
C N MANJUNATHA,Bahujan Bharat Party,1350.0,50,1400.0,0.07,Karnataka,Bangalore Rural
KUMAR L,Bharatiya Prajagala Kalyana Paksha,1052.0,14,1066.0,0.06,Karnataka,Bangalore Rural
MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi,817.0,4,821.0,0.04,Karnataka,Bangalore Rural
NARASIMHAMURTHY J P,Independent,809.0,4,813.0,0.04,Karnataka,Bangalore Rural
SURESH S,Karunaadu Party,792.0,6,798.0,0.04,Karnataka,Bangalore Rural
VASIST J,Country Citizen Party,546.0,38,584.0,0.03,Karnataka,Bangalore Rural
MOHAMMAD DASTAGEER,Young Star Empowerment Party,486.0,,486.0,0.03,Karnataka,Bangalore Rural
H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi,473.0,7,480.0,0.03,Karnataka,Bangalore Rural
NOTA,None of the Above,10633.0,16,10649.0,0.55,Karnataka,Bangalore Rural
TEJASVI SURYA,Bharatiya Janata Party,747780.0,3050,750830.0,60.1,Karnataka,Bangalore South
SOWMYA REDDY,Indian National Congress,472754.0,993,473747.0,37.92,Karnataka,Bangalore South
ARUN PRASAD.A,Bahujan Samaj Party,2416.0,9,2425.0,0.19,Karnataka,Bangalore South
TINTISHA HEMACHANDRA SAGAR,Independent,1962.0,6,1968.0,0.16,Karnataka,Bangalore South
VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,1857.0,10,1867.0,0.15,Karnataka,Bangalore South
KEMPEGOWDA,Navabharath Sena,1390.0,3,1393.0,0.11,Karnataka,Bangalore South
TEJASWINI DHANANJAY,Independent,1147.0,3,1150.0,0.09,Karnataka,Bangalore South
BALAKRISHNA.M.,Uttama Prajaakeeya Party,1106.0,4,1110.0,0.09,Karnataka,Bangalore South
JAYAPAL.D,Independent,940.0,2,942.0,0.08,Karnataka,Bangalore South
RANJITH GOWDA,Independent,859.0,1,860.0,0.07,Karnataka,Bangalore South
V.RAJKUMAR VCK,Independent,738.0,2,740.0,0.06,Karnataka,Bangalore South
RAGHUPATHI BHAT,Karnataka Rashtra Samithi,737.0,1,738.0,0.06,Karnataka,Bangalore South
DR HARISH GOWDA,Independent,555.0,8,563.0,0.05,Karnataka,Bangalore South
CHETAN CHAMAN,Country Citizen Party,490.0,2,492.0,0.04,Karnataka,Bangalore South
A . RAJ.,Independent,473.0,4,477.0,0.04,Karnataka,Bangalore South
K. C. JANARDHAN,Independent,444.0,8,452.0,0.04,Karnataka,Bangalore South
KANTHAKUMAR.R.,Independent,393.0,10,403.0,0.03,Karnataka,Bangalore South
KARAVALI MANJUNATH. BE,Rashtriya Samaj Dal (R),308.0,2,310.0,0.02,Karnataka,Bangalore South
C M. SHABAZ KHAN,Young Star Empowerment Party,295.0,2,297.0,0.02,Karnataka,Bangalore South
ASGAR A MOHIN.S.M.,Independent,266.0,3,269.0,0.02,Karnataka,Bangalore South
SUBRAHMANYA KUMAR KUNTIKANAMATA,Independent,234.0,3,237.0,0.02,Karnataka,Bangalore South
DR.R.SHEKAR THIRUMAVALVAN,Independent,214.0,1,215.0,0.02,Karnataka,Bangalore South
NOTA,None of the Above,7830.0,27,7857.0,0.63,Karnataka,Bangalore South
JAGADISH SHETTAR,Bharatiya Janata Party,756471.0,5558,762029.0,55.06,Karnataka,Belgaum
MRINAL R HEBBALKAR,Indian National Congress,580897.0,2695,583592.0,42.17,Karnataka,Belgaum
MAHADEV PATIL,Independent,9425.0,78,9503.0,0.69,Karnataka,Belgaum
BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,5406.0,35,5441.0,0.39,Karnataka,Belgaum
ASHOK APPAYA APPUGOL,Bahujan Samaj Party,4350.0,57,4407.0,0.32,Karnataka,Belgaum
RAVI SHIVAPPA PADASALAGI,Independent,3911.0,15,3926.0,0.28,Karnataka,Belgaum
VIJAY S METHRANI,Independent,2804.0,4,2808.0,0.2,Karnataka,Belgaum
PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,1413.0,20,1433.0,0.1,Karnataka,Belgaum
LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),1287.0,15,1302.0,0.09,Karnataka,Belgaum
NITIN ASHOK MHADAGUT,Independent,1286.0,24,1310.0,0.09,Karnataka,Belgaum
PUNDALIK ITNAL,Independent,1062.0,37,1099.0,0.08,Karnataka,Belgaum
ASHOK P HANAJI,Independent,668.0,11,679.0,0.05,Karnataka,Belgaum
ASHPAKAHMAD USTAD,Independent,622.0,12,634.0,0.05,Karnataka,Belgaum
NOTA,None of the Above,5683.0,43,5726.0,0.41,Karnataka,Belgaum
E. TUKARAM,Indian National Congress,729581.0,1264,730845.0,52.58,Karnataka,Bellary
B. SREERAMULU,Bharatiya Janata Party,629813.0,2040,631853.0,45.46,Karnataka,Bellary
VALMIKI KRISHNAPPA,Bahujan Samaj Party,5901.0,10,5911.0,0.43,Karnataka,Bellary
C. CHANNAVEERA,Karnataka Rashtra Samithi,3794.0,3,3797.0,0.27,Karnataka,Bellary
CONDUCTOR PAMPAPATHI,Independent,2458.0,2,2460.0,0.18,Karnataka,Bellary
VEERESH,Independent,1862.0,8,1870.0,0.13,Karnataka,Bellary
A. DEVADAS,Socialist Unity Centre Of India (COMMUNIST),1739.0,2,1741.0,0.13,Karnataka,Bellary
MANJUNATHA GOSAL,Prahar Janshakti Party,1319.0,3,1322.0,0.1,Karnataka,Bellary
ARUN.S.HIREHAL,Independent,1281.0,1,1282.0,0.09,Karnataka,Bellary
G. SWAMY,Navabharath Sena,940.0,4,944.0,0.07,Karnataka,Bellary
NOTA,None of the Above,7871.0,18,7889.0,0.57,Karnataka,Bellary
SAGAR ESHWAR KHANDRE,Indian National Congress,665162.0,1155,666317.0,53.63,Karnataka,Bidar
BHAGWANTH KHUBA,Bharatiya Janata Party,535766.0,1676,537442.0,43.26,Karnataka,Bidar
AMBADAS SOPANRAO HULSURE,Bahujan Bharat Party,5300.0,2,5302.0,0.43,Karnataka,Bidar
PUTARAJ,Bahujan Samaj Party,4541.0,13,4554.0,0.37,Karnataka,Bidar
DR. DINKAR MORE,Independent,4105.0,11,4116.0,0.33,Karnataka,Bidar
SRI ROPH ABDUL GANI,Independent,3101.0,3,3104.0,0.25,Karnataka,Bidar
SHIVRAJ ADIVEPPA SATWAR,Independent,3076.0,3,3079.0,0.25,Karnataka,Bidar
RAMVILAS RAMULALJI NAVANDAR,Independent,2694.0,,2694.0,0.22,Karnataka,Bidar
RIYAZ AHMED,Independent,1710.0,1,1711.0,0.14,Karnataka,Bidar
MOHD. SHAFEEQ UR RAHAMAN,All India Ulama Congress,1684.0,10,1694.0,0.14,Karnataka,Bidar
JAIRAJ KASHAPPA BUKKA ADVOCATE,Independent,1493.0,,1493.0,0.12,Karnataka,Bidar
BALBHEEM UNNE,Independent,1462.0,8,1470.0,0.12,Karnataka,Bidar
WASEEMUDDIN,Independent,1169.0,1,1170.0,0.09,Karnataka,Bidar
MAHESH GORNALKAR,Republican Party of India (A),974.0,7,981.0,0.08,Karnataka,Bidar
DILIP KADWAD,Independent,791.0,7,798.0,0.06,Karnataka,Bidar
